DATE,Natural_Gas_Production
1973 January,1.908249
1973 February,1.922543
1973 March,1.86843
1973 April,1.777561
1973 May,1.859241
1973 June,1.802065
1973 July,1.841884
1973 August,1.857199
1973 September,1.803086
1973 October,1.836779
1973 November,1.825548
1973 December,1.886808
1974 January,1.895424
1974 February,1.728512
1974 March,1.860608
1974 April,1.747968
1974 May,1.813504
1974 June,1.709056
1974 July,1.784832
1974 August,1.757184
1974 September,1.723392
1974 October,1.734656
1974 November,1.697792
1974 December,1.757184
1975 January,1.737742
1975 February,1.607054
1975 March,1.697923
1975 April,1.632579
1975 May,1.649936
1975 June,1.595823
1975 July,1.637684
1975 August,1.637684
1975 September,1.565193
1975 October,1.608075
1975 November,1.580508
1975 December,1.689755
1976 January,1.70952
1976 February,1.60752
1976 March,1.67382
1976 April,1.58508
1976 May,1.63302
1976 June,1.6014
1976 July,1.63608
1976 August,1.59732
1976 September,1.52796
1976 October,1.60038
1976 November,1.59732
1976 December,1.71156
1977 January,1.699965
1977 February,1.635642
1977 March,1.711196
1977 April,1.606033
1977 May,1.652999
1977 June,1.611138
1977 July,1.635642
1977 August,1.607054
1977 September,1.56213
1977 October,1.590718
1977 November,1.569277
1977 December,1.686692
1978 January,1.700711
1978 February,1.609001
1978 March,1.704787
1978 April,1.627343
1978 May,1.623267
1978 June,1.583526
1978 July,1.651799
1978 August,1.617153
1978 September,1.537671
1978 October,1.594735
1978 November,1.567222
1978 December,1.668103
1979 January,1.737742
1979 February,1.624411
1979 March,1.721406
1979 April,1.660146
1979 May,1.682608
1979 June,1.611138
1979 July,1.629516
1979 August,1.656062
1979 September,1.60297
1979 October,1.672398
1979 November,1.690776
1979 December,1.787771
1980 January,1.796526
1980 February,1.685718
1980 March,1.80576
1980 April,1.647756
1980 May,1.67238
1980 June,1.56465
1980 July,1.594404
1980 August,1.55439
1980 September,1.557468
1980 October,1.62621
1980 November,1.629288
1980 December,1.773954
1981 January,1.729468
1981 February,1.552824
1981 March,1.713036
1981 April,1.652443
1981 May,1.676064
1981 June,1.613417
1981 July,1.641146
1981 August,1.683253
1981 September,1.556932
1981 October,1.621633
1981 November,1.563094
1981 December,1.695577
1982 January,1.709564
1982 February,1.566672
1982 March,1.657136
1982 April,1.563588
1982 May,1.534804
1982 June,1.488544
1982 July,1.509104
1982 August,1.476208
1982 September,1.415556
1982 October,1.44434
1982 November,1.45976
1982 December,1.493684
1983 January,1.571403
1983 February,1.363498
1983 March,1.402675
1983 April,1.374733
1983 May,1.371321
1983 June,1.328297
1983 July,1.376296
1983 August,1.352142
1983 September,1.287393
1983 October,1.353075
1983 November,1.349385
1983 December,1.46317
1984 January,1.70249
1984 February,1.478481
1984 March,1.521124
1984 April,1.488426
1984 May,1.484727
1984 June,1.437914
1984 July,1.491238
1984 August,1.469435
1984 September,1.400102
1984 October,1.47165
1984 November,1.46868
1984 December,1.593666
1985 January,1.615285
1985 February,1.467027
1985 March,1.464106
1985 April,1.379719
1985 May,1.365195
1985 June,1.318821
1985 July,1.350741
1985 August,1.347676
1985 September,1.320837
1985 October,1.376261
1985 November,1.380646
1985 December,1.594066
1986 January,1.590844
1986 February,1.379224
1986 March,1.464062
1986 April,1.315141
1986 May,1.340462
1986 June,1.282181
1986 July,1.323357
1986 August,1.32336
1986 September,1.258956
1986 October,1.333276
1986 November,1.414165
1986 December,1.515772
1987 January,1.586308
1987 February,1.425523
1987 March,1.505676
1987 April,1.403143
1987 May,1.387096
1987 June,1.328514
1987 July,1.347142
1987 August,1.371097
1987 September,1.307841
1987 October,1.422251
1987 November,1.464474
1987 December,1.586754
1988 January,1.633857
1988 February,1.487722
1988 March,1.551993
1988 April,1.42074
1988 May,1.454528
1988 June,1.382694
1988 July,1.40097
1988 August,1.420649
1988 September,1.340479
1988 October,1.456516
1988 November,1.483904
1988 December,1.564545
1989 January,1.584724
1989 February,1.464457
1989 March,1.552134
1989 April,1.4781
1989 May,1.497715
1989 June,1.436696
1989 July,1.464506
1989 August,1.454001
1989 September,1.383898
1989 October,1.451818
1989 November,1.512263
1989 December,1.566964
1990 January,1.664082
1990 February,1.48246
1990 March,1.572566
1990 April,1.490787
1990 May,1.507534
1990 June,1.465937
1990 July,1.490656
1990 August,1.49638
1990 September,1.433396
1990 October,1.558757
1990 November,1.555941
1990 December,1.60766
1991 January,1.65825
1991 February,1.459117
1991 March,1.580541
1991 April,1.506171
1991 May,1.49687
1991 June,1.426773
1991 July,1.440952
1991 August,1.446753
1991 September,1.439983
1991 October,1.554498
1991 November,1.573539
1991 December,1.64529
1992 January,1.633184
1992 February,1.44034
1992 March,1.519445
1992 April,1.490789
1992 May,1.529131
1992 June,1.487723
1992 July,1.535564
1992 August,1.49489
1992 September,1.48053
1992 October,1.578641
1992 November,1.558985
1992 December,1.625878
1993 January,1.613188
1993 February,1.449784
